"payment_term_code","translation_kind","language_code","translation_key","source_text_from_ten_payment_term","existing_fw_translation_text","status","source_payment_term_row_id","notes"
"CASH_DISCOUNT_10_2_NET_30","TERMS","de-CH","PAYMENT_TERM.CASH_DISCOUNT_10_2_NET_30.TERMS","2% Skonto bei Zahlung innert 10 Tagen, ansonsten zahlbar innert 30 Tagen netto.","","READY_TO_MIGRATE","3","Can be migrated from ten_payment_term."
"CASH_DISCOUNT_10_2_NET_30","TERMS","en-US","PAYMENT_TERM.CASH_DISCOUNT_10_2_NET_30.TERMS","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"CASH_DISCOUNT_10_2_NET_30","TERMS","fr-CH","PAYMENT_TERM.CASH_DISCOUNT_10_2_NET_30.TERMS","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"SPLIT_50_ORDER_50_DELIVERY","TITLE","de-CH","PAYMENT_TERM.SPLIT_50_ORDER_50_DELIVERY.TITLE","50% bei Auftragserteilung, 50% bei Lieferung","","READY_TO_MIGRATE","4","Can be migrated from ten_payment_term."
"SPLIT_50_ORDER_50_DELIVERY","TITLE","en-US","PAYMENT_TERM.SPLIT_50_ORDER_50_DELIVERY.TITLE","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"SPLIT_50_ORDER_50_DELIVERY","TITLE","fr-CH","PAYMENT_TERM.SPLIT_50_ORDER_50_DELIVERY.TITLE","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"SPLIT_50_ORDER_50_DELIVERY","TERMS","de-CH","PAYMENT_TERM.SPLIT_50_ORDER_50_DELIVERY.TERMS","50% zahlbar bei Auftragserteilung, 50% zahlbar bei Lieferung.","","READY_TO_MIGRATE","4","Can be migrated from ten_payment_term."
"SPLIT_50_ORDER_50_DELIVERY","TERMS","en-US","PAYMENT_TERM.SPLIT_50_ORDER_50_DELIVERY.TERMS","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"SPLIT_50_ORDER_50_DELIVERY","TERMS","fr-CH","PAYMENT_TERM.SPLIT_50_ORDER_50_DELIVERY.TERMS","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"MILESTONE_50_25_25","TITLE","de-CH","PAYMENT_TERM.MILESTONE_50_25_25.TITLE","50% Anzahlung, 25% bei Launch, 25% nach 30 Tagen","","READY_TO_MIGRATE","5","Can be migrated from ten_payment_term."
"MILESTONE_50_25_25","TITLE","en-US","PAYMENT_TERM.MILESTONE_50_25_25.TITLE","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"MILESTONE_50_25_25","TITLE","fr-CH","PAYMENT_TERM.MILESTONE_50_25_25.TITLE","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"MILESTONE_50_25_25","TERMS","de-CH","PAYMENT_TERM.MILESTONE_50_25_25.TERMS","50% Anzahlung bei Auftragserteilung, 25% bei Launch, 25% 30 Tage nach Launch.","","READY_TO_MIGRATE","5","Can be migrated from ten_payment_term."
"MILESTONE_50_25_25","TERMS","en-US","PAYMENT_TERM.MILESTONE_50_25_25.TERMS","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
"MILESTONE_50_25_25","TERMS","fr-CH","PAYMENT_TERM.MILESTONE_50_25_25.TERMS","","","MISSING_SOURCE_TEXT","","No reliable source text in current ten_payment_term row."
