"translation_key","old_language_code","new_language_code","text"
"COMMON.ALL","EN-US","en-US","All"
"COMMON.BACK","DE-CH","de-CH","Zurück"
"COMMON.BACK","EN-US","en-US","Back"
"COMMON.CLEAR_SEARCH","DE-CH","de-CH","Filter Reset"
"COMMON.CLEAR_SEARCH","EN-US","en-US","Clear Filter"
"COMMON.EDIT","DE-CH","de-CH","Bearbeiten"
"COMMON.EDIT","EN-US","en-US","Edit"
"COMMON.HOME","DE-CH","de-CH","Home"
"COMMON.HOME","EN-US","en-US","Home"
"COMMON.NEW","DE-CH","de-CH","Neu"
"COMMON.NEW","EN-US","en-US","New"
"COMMON.REFRESH","DE-CH","de-CH","Aktualisieren"
"COMMON.REFRESH","EN-US","en-US","Refresh"
"COMMON.SEARCH","DE-CH","de-CH","Suche"
"COMMON.SEARCH","EN-US","en-US","Search"
"CONTACT_TYPE.EMAIL","DE-CH","de-CH","E-Mail"
"CONTACT_TYPE.EMAIL","DE-DE","de-DE","E-Mail"
"CONTACT_TYPE.EMAIL","EN-US","en-US","E-Mail"
"CONTACT_TYPE.EMAIL","IT-CH","it-CH","E-mail"
"CONTACT_TYPE.FAX","DE-CH","de-CH","Fax"
"CONTACT_TYPE.FAX","DE-DE","de-DE","Fax"
"CONTACT_TYPE.FAX","EN-US","en-US","Fax"
"CONTACT_TYPE.FAX","IT-CH","it-CH","Fax"
"CONTACT_TYPE.MOBILE","DE-CH","de-CH","Mobil"
"CONTACT_TYPE.MOBILE","DE-DE","de-DE","Mobil"
"CONTACT_TYPE.MOBILE","EN-US","en-US","Mobile"
"CONTACT_TYPE.MOBILE","IT-CH","it-CH","Mobile"
"CONTACT_TYPE.OTHER","DE-CH","de-CH","Sonstige"
"CONTACT_TYPE.OTHER","DE-DE","de-DE","Sonstige"
"CONTACT_TYPE.OTHER","EN-US","en-US","Other"
"CONTACT_TYPE.OTHER","IT-CH","it-CH","Altro"
"CONTACT_TYPE.PHONE","DE-CH","de-CH","Telefon"
"CONTACT_TYPE.PHONE","DE-DE","de-DE","Telefon"
"CONTACT_TYPE.PHONE","EN-US","en-US","Phone"
"CONTACT_TYPE.PHONE","IT-CH","it-CH","Telefono"
"CONTACT_TYPE.WEBSITE","DE-CH","de-CH","Webseite"
"CONTACT_TYPE.WEBSITE","DE-DE","de-DE","Webseite"
"CONTACT_TYPE.WEBSITE","EN-US","en-US","Website"
"CONTACT_TYPE.WEBSITE","IT-CH","it-CH","Sito web"
"ERR_DATE","DE","de-CH","muss ein gueltiges Datum sein"
"ERR_DATE","DE-CH","de-CH","Gültiges Datum erwartet"
"ERR_DATE","EN","en-US","must be a valid date"
"ERR_DATE","EN-US","en-US","Valid date expected"
"ERR_INTEGER","DE","de-CH","muss eine ganze Zahl sein"
"ERR_INTEGER","DE-CH","de-CH","Ganze Zahl erwartet"
"ERR_INTEGER","EN","en-US","must be an integer"
"ERR_INTEGER","EN-US","en-US","Integer expected"
"ERR_MAX","DE","de-CH","muss <= {0} sein"
"ERR_MAX","DE-CH","de-CH","Wert zu gross"
"ERR_MAX","EN","en-US","must be <= {0}"
"ERR_MAX","EN-US","en-US","Value too large"
"ERR_MAXLEN","DE","de-CH","Maximallaenge ist {0}"
"ERR_MAXLEN","DE-CH","de-CH","Eingabe zu lang"
"ERR_MAXLEN","EN","en-US","maximum length is {0}"
"ERR_MAXLEN","EN-US","en-US","Input is too long"
"ERR_MIN","DE","de-CH","muss >= {0} sein"
"ERR_MIN","DE-CH","de-CH","Wert zu klein"
"ERR_MIN","EN","en-US","must be >= {0}"
"ERR_MIN","EN-US","en-US","Value too small"
"ERR_MINLEN","DE","de-CH","Mindestlaenge ist {0}"
"ERR_MINLEN","DE-CH","de-CH","Eingabe zu kurz"
"ERR_MINLEN","EN","en-US","minimum length is {0}"
"ERR_MINLEN","EN-US","en-US","Input too short"
"ERR_NUMERIC","DE","de-CH","muss eine Zahl sein"
"ERR_NUMERIC","DE-CH","de-CH","Numerischer Wert erwartet"
"ERR_NUMERIC","EN","en-US","must be a number"
"ERR_NUMERIC","EN-US","en-US","Numeric value expected"
"ERR_REQUIRED","DE","de-CH","ist erforderlich"
"ERR_REQUIRED","DE-CH","de-CH","Pflichtfeld"
"ERR_REQUIRED","EN","en-US","is required"
"ERR_REQUIRED","EN-US","en-US","Mandatory field"
"FORM.FRMADDRESSCOCKPIT.ACCOUNT_STATEMENT","DE-CH","de-CH","Kontoauszug"
"FORM.FRMADDRESSCOCKPIT.ACCOUNT_STATEMENT","EN-US","en-US","Account statement"
"FORM.FRMADDRESSCOCKPIT.ACTIVE_SUBSCRIPTIONS","DE-CH","de-CH","Aktive Abos"
"FORM.FRMADDRESSCOCKPIT.ACTIVE_SUBSCRIPTIONS","EN-US","en-US","Active subscriptions"
"FORM.FRMADDRESSCOCKPIT.ADDRESS","DE-CH","de-CH","Adresse"
"FORM.FRMADDRESSCOCKPIT.ADDRESS","EN-US","en-US","Address"
"FORM.FRMADDRESSCOCKPIT.CAPTURE_PAYMENT","DE-CH","de-CH","Zahlungseingang erfassen"
"FORM.FRMADDRESSCOCKPIT.CAPTURE_PAYMENT","EN-US","en-US","Capture payment"
"FORM.FRMADDRESSCOCKPIT.CMDACCOUNTSTATEMENT","DE-CH","de-CH","Kontoauszug"
"FORM.FRMADDRESSCOCKPIT.CMDACCOUNTSTATEMENT","EN-US","en-US","Account statement"
"FORM.FRMADDRESSCOCKPIT.CMDCAPTUREPAYMENT","DE-CH","de-CH","Zahlungseingang erfassen"
"FORM.FRMADDRESSCOCKPIT.CMDCAPTUREPAYMENT","EN-US","en-US","Enter Incoming Payment"
"FORM.FRMADDRESSCOCKPIT.CMDDUNNING","DE-CH","de-CH","Mahnungen"
"FORM.FRMADDRESSCOCKPIT.CMDDUNNING","EN-US","en-US","Reminders"
"FORM.FRMADDRESSCOCKPIT.CMDEMAILS","DE-CH","de-CH","E-Mails"
"FORM.FRMADDRESSCOCKPIT.CMDEMAILS","EN-US","en-US","Emails"
"FORM.FRMADDRESSCOCKPIT.CMDMANAGEORDERS","DE-CH","de-CH","Bestellungen verwalten"
"FORM.FRMADDRESSCOCKPIT.CMDMANAGEORDERS","EN-US","en-US","Manage Orders"
"FORM.FRMADDRESSCOCKPIT.CMDMANAGESUBSCRIPTIONS","DE-CH","de-CH","Abos verwalten"
"FORM.FRMADDRESSCOCKPIT.CMDMANAGESUBSCRIPTIONS","EN-US","en-US","Manage Subscriptions"
"FORM.FRMADDRESSCOCKPIT.CMDNEWORDER","DE-CH","de-CH","Neue Bestellung"
"FORM.FRMADDRESSCOCKPIT.CMDNEWORDER","EN-US","en-US","New Order"
"FORM.FRMADDRESSCOCKPIT.CMDNEWSUBSCRIPTION","DE-CH","de-CH","Neues Abo"
"FORM.FRMADDRESSCOCKPIT.CMDNEWSUBSCRIPTION","EN-US","en-US","New Subscription"
"FORM.FRMADDRESSCOCKPIT.CMDNOTES","DE-CH","de-CH","Notizen"
"FORM.FRMADDRESSCOCKPIT.CMDNOTES","EN-US","en-US","Notes"
"FORM.FRMADDRESSCOCKPIT.CMDREPORTS","DE-CH","de-CH","Reports"
"FORM.FRMADDRESSCOCKPIT.CMDREPORTS","EN-US","en-US","Reports"
"FORM.FRMADDRESSCOCKPIT.CONTACT","DE-CH","de-CH","Kontakt"
"FORM.FRMADDRESSCOCKPIT.CONTACT","EN-US","en-US","Contact"
"FORM.FRMADDRESSCOCKPIT.DUNNINGS","DE-CH","de-CH","Mahnungen"
"FORM.FRMADDRESSCOCKPIT.DUNNINGS","EN-US","en-US","Dunnings"
"FORM.FRMADDRESSCOCKPIT.DUNNINGS_ACTION","DE-CH","de-CH","Mahnungen"
"FORM.FRMADDRESSCOCKPIT.DUNNINGS_ACTION","EN-US","en-US","Dunnings"
"FORM.FRMADDRESSCOCKPIT.EMAILS","DE-CH","de-CH","E-Mails"
"FORM.FRMADDRESSCOCKPIT.EMAILS","EN-US","en-US","Emails"
"FORM.FRMADDRESSCOCKPIT.FORM_TITLE","DE-CH","de-CH","Adress-Cockpit"
"FORM.FRMADDRESSCOCKPIT.FORM_TITLE","EN-US","en-US","Address Cockpit"
"FORM.FRMADDRESSCOCKPIT.LAST_ACTIVITY","DE-CH","de-CH","Letzte Aktivitaet"
"FORM.FRMADDRESSCOCKPIT.LAST_ACTIVITY","EN-US","en-US","Last activity"
"FORM.FRMADDRESSCOCKPIT.LBLACTIVESUBSCRIPTIONS","DE-CH","de-CH","Aktive Abos"
"FORM.FRMADDRESSCOCKPIT.LBLACTIVESUBSCRIPTIONS","EN-US","en-US","Active Subscriptions"
"FORM.FRMADDRESSCOCKPIT.LBLADDRESS","DE-CH","de-CH","Adresse"
"FORM.FRMADDRESSCOCKPIT.LBLADDRESS","EN-US","en-US","Address"
"FORM.FRMADDRESSCOCKPIT.LBLCONTACT","DE-CH","de-CH","Kontakt"
"FORM.FRMADDRESSCOCKPIT.LBLCONTACT","EN-US","en-US","Contact"
"FORM.FRMADDRESSCOCKPIT.LBLCURRENCY","DE-CH","de-CH","Währung"
"FORM.FRMADDRESSCOCKPIT.LBLCURRENCY","EN-US","en-US","Currency"
"FORM.FRMADDRESSCOCKPIT.LBLDISPLAYNAME","DE-CH","de-CH","Name / Firma"
"FORM.FRMADDRESSCOCKPIT.LBLDISPLAYNAME","EN-US","en-US","Name / Company"
"FORM.FRMADDRESSCOCKPIT.LBLDUNNINGS","DE-CH","de-CH","Mahnungen"
"FORM.FRMADDRESSCOCKPIT.LBLDUNNINGS","EN-US","en-US","Reminders"
"FORM.FRMADDRESSCOCKPIT.LBLFORMTITLE","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.LBLFORMTITLE","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.LBLLANGUAGE","DE-CH","de-CH","Sprache"
"FORM.FRMADDRESSCOCKPIT.LBLLANGUAGE","EN-US","en-US","Language"
"FORM.FRMADDRESSCOCKPIT.LBLLASTACTIVITY","DE-CH","de-CH","Letzte Aktivität"
"FORM.FRMADDRESSCOCKPIT.LBLLASTACTIVITY","EN-US","en-US","Last Activity"
"FORM.FRMADDRESSCOCKPIT.LBLLOCKHINT","DE-CH","de-CH","Adresse ist gesperrt"
"FORM.FRMADDRESSCOCKPIT.LBLLOCKHINT","EN-US","en-US","Address is locked"
"FORM.FRMADDRESSCOCKPIT.LBLOPENINVOICES","DE-CH","de-CH","Offene Rechnungen"
"FORM.FRMADDRESSCOCKPIT.LBLOPENINVOICES","EN-US","en-US","Open Invoices"
"FORM.FRMADDRESSCOCKPIT.LBLOPENORDERS","DE-CH","de-CH","Offene Aufträge"
"FORM.FRMADDRESSCOCKPIT.LBLOPENORDERS","EN-US","en-US","Open Orders"
"FORM.FRMADDRESSCOCKPIT.LBLOVERDUEITEMS","DE-CH","de-CH","Überfällige Posten"
"FORM.FRMADDRESSCOCKPIT.LBLOVERDUEITEMS","EN-US","en-US","Overdue items"
"FORM.FRMADDRESSCOCKPIT.LBLSALESCURRENTYEAR","DE-CH","de-CH","Umsatz laufendes Jahr"
"FORM.FRMADDRESSCOCKPIT.LBLSALESCURRENTYEAR","EN-US","en-US","Current Year Sales"
"FORM.FRMADDRESSCOCKPIT.LBLSTATUS","DE-CH","de-CH","Status"
"FORM.FRMADDRESSCOCKPIT.LBLSTATUS","EN-US","en-US","Status"
"FORM.FRMADDRESSCOCKPIT.LOCK_HINT","DE-CH","de-CH","Adresse ist gesperrt"
"FORM.FRMADDRESSCOCKPIT.LOCK_HINT","EN-US","en-US","Address is locked"
"FORM.FRMADDRESSCOCKPIT.MANAGE_ORDERS","DE-CH","de-CH","Bestellungen verwalten"
"FORM.FRMADDRESSCOCKPIT.MANAGE_ORDERS","EN-US","en-US","Manage orders"
"FORM.FRMADDRESSCOCKPIT.MANAGE_SUBSCRIPTIONS","DE-CH","de-CH","Abos verwalten"
"FORM.FRMADDRESSCOCKPIT.MANAGE_SUBSCRIPTIONS","EN-US","en-US","Manage subscriptions"
"FORM.FRMADDRESSCOCKPIT.N_A","DE-CH","de-CH","n/a"
"FORM.FRMADDRESSCOCKPIT.N_A","EN-US","en-US","n/a"
"FORM.FRMADDRESSCOCKPIT.NEW_ORDER","DE-CH","de-CH","Neue Bestellung"
"FORM.FRMADDRESSCOCKPIT.NEW_ORDER","EN-US","en-US","New order"
"FORM.FRMADDRESSCOCKPIT.NEW_SUBSCRIPTION","DE-CH","de-CH","Neues Abo"
"FORM.FRMADDRESSCOCKPIT.NEW_SUBSCRIPTION","EN-US","en-US","New subscription"
"FORM.FRMADDRESSCOCKPIT.NOTES","DE-CH","de-CH","Notizen"
"FORM.FRMADDRESSCOCKPIT.NOTES","EN-US","en-US","Notes"
"FORM.FRMADDRESSCOCKPIT.OPEN_INVOICES","DE-CH","de-CH","Offene Rechnungen"
"FORM.FRMADDRESSCOCKPIT.OPEN_INVOICES","EN-US","en-US","Open invoices"
"FORM.FRMADDRESSCOCKPIT.OPEN_ORDERS","DE-CH","de-CH","Offene Auftraege"
"FORM.FRMADDRESSCOCKPIT.OPEN_ORDERS","EN-US","en-US","Open orders"
"FORM.FRMADDRESSCOCKPIT.OVERDUE_ITEMS","DE-CH","de-CH","Ueberfaellige Posten"
"FORM.FRMADDRESSCOCKPIT.OVERDUE_ITEMS","EN-US","en-US","Overdue items"
"FORM.FRMADDRESSCOCKPIT.RECHTECK24","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.RECHTECK24","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.REPORTS","DE-CH","de-CH","Reports"
"FORM.FRMADDRESSCOCKPIT.REPORTS","EN-US","en-US","Reports"
"FORM.FRMADDRESSCOCKPIT.SALES_CURRENT_YEAR","DE-CH","de-CH","Umsatz laufendes Jahr"
"FORM.FRMADDRESSCOCKPIT.SALES_CURRENT_YEAR","EN-US","en-US","Sales current year"
"FORM.FRMADDRESSCOCKPIT.STATUS","DE-CH","de-CH","Status"
"FORM.FRMADDRESSCOCKPIT.STATUS","EN-US","en-US","Status"
"FORM.FRMADDRESSCOCKPIT.STATUS_ACTIVE","DE-CH","de-CH","Aktiv"
"FORM.FRMADDRESSCOCKPIT.STATUS_ACTIVE","EN-US","en-US","Active"
"FORM.FRMADDRESSCOCKPIT.STATUS_INACTIVE","DE-CH","de-CH","Inaktiv"
"FORM.FRMADDRESSCOCKPIT.STATUS_INACTIVE","EN-US","en-US","Inactive"
"FORM.FRMADDRESSCOCKPIT.TXTACTIVESUBSCRIPTIONSCOUNT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTACTIVESUBSCRIPTIONSCOUNT","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTADDRESSCOMPACT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTADDRESSCOMPACT","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTADDRESSID","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTADDRESSID","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTCONTACTINFO","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTCONTACTINFO","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTCURRENCYCODE","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTCURRENCYCODE","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTDISPLAYNAME","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTDISPLAYNAME","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTDUNNINGCOUNT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTDUNNINGCOUNT","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTLANGUAGECODE","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTLANGUAGECODE","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTLASTACTIVITYTEXT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTLASTACTIVITYTEXT","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTLOCKREASON","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTLOCKREASON","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTOPENINVOICESCOUNT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTOPENINVOICESCOUNT","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTOPENORDERSCOUNT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTOPENORDERSCOUNT","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTOVERDUEITEMSCOUNT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTOVERDUEITEMSCOUNT","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTSALESCURRENTYEARAMOUNT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTSALESCURRENTYEARAMOUNT","EN-US","en-US",""
"FORM.FRMADDRESSCOCKPIT.TXTSTATUSTEXT","DE-CH","de-CH",""
"FORM.FRMADDRESSCOCKPIT.TXTSTATUSTEXT","EN-US","en-US",""
"FORM.FRMADDRESSDETAIL.ADDRESS_CONTACTS","DE-CH","de-CH","Kontakt"
"FORM.FRMADDRESSDETAIL.ADDRESS_CONTACTS","EN-US","en-US","contact"
"FORM.FRMADDRESSDETAIL.ADDRESS_ID","DE-CH","de-CH","ID"
"FORM.FRMADDRESSDETAIL.ADDRESS_ID","EN-US","en-US","ID"
"FORM.FRMADDRESSDETAIL.ADDRESS_TYPE_CODE","DE-CH","de-CH","Typ"
"FORM.FRMADDRESSDETAIL.ADDRESS_TYPE_CODE","EN-US","en-US","Type"
"FORM.FRMADDRESSDETAIL.ADDRESSING_MODE","DE-CH","de-CH","Anredeform"
"FORM.FRMADDRESSDETAIL.ADDRESSING_MODE","EN-US","en-US","Form of address"
"FORM.FRMADDRESSDETAIL.CMDCANCEL","DE-CH","de-CH","Abbrechen"
"FORM.FRMADDRESSDETAIL.CMDCANCEL","EN-US","en-US","Cancel"
"FORM.FRMADDRESSDETAIL.CMDSAVE","DE-CH","de-CH","Speichern"
"FORM.FRMADDRESSDETAIL.CMDSAVE","EN-US","en-US","Save"
"FORM.FRMADDRESSDETAIL.COMPANY_NAME","DE-CH","de-CH","Firma"
"FORM.FRMADDRESSDETAIL.COMPANY_NAME","EN-US","en-US","Company"
"FORM.FRMADDRESSDETAIL.CREATED_AT","DE-CH","de-CH","Erstellt am"
"FORM.FRMADDRESSDETAIL.CREATED_AT","EN-US","en-US","Created on"
"FORM.FRMADDRESSDETAIL.CREATED_BY","DE-CH","de-CH","Erstellt von"
"FORM.FRMADDRESSDETAIL.CREATED_BY","EN-US","en-US","Created by"
"FORM.FRMADDRESSDETAIL.FIRST_NAME","DE-CH","de-CH","Vorname"
"FORM.FRMADDRESSDETAIL.FIRST_NAME","EN-US","en-US","First name"
"FORM.FRMADDRESSDETAIL.FORM_TITLE","DE-CH","de-CH","Bearbeiten"
"FORM.FRMADDRESSDETAIL.FORM_TITLE","EN-US","en-US","Edit"
"FORM.FRMADDRESSDETAIL.IS_ACTIVE","DE-CH","de-CH","Aktiv"
"FORM.FRMADDRESSDETAIL.IS_ACTIVE","EN-US","en-US","Active"
"FORM.FRMADDRESSDETAIL.LAND_PLZ_ORT","DE-CH","de-CH","Land | Plz | Ort"
"FORM.FRMADDRESSDETAIL.LAND_PLZ_ORT","EN-US","en-US","Country | Zip | City"
"FORM.FRMADDRESSDETAIL.LANGUAGE_CODE","DE-CH","de-CH","Sprache"
"FORM.FRMADDRESSDETAIL.LANGUAGE_CODE","EN-US","en-US","language"
"FORM.FRMADDRESSDETAIL.LAST_NAME","DE-CH","de-CH","Nachname"
"FORM.FRMADDRESSDETAIL.LAST_NAME","EN-US","en-US","Last name"
"FORM.FRMADDRESSDETAIL.LBLISACTIVE","DE-CH","de-CH","Aktiv"
"FORM.FRMADDRESSDETAIL.LBLISACTIVE","EN-US","en-US","Active"
"FORM.FRMADDRESSDETAIL.PREFERRED_NAME","DE-CH","de-CH","Bevorzugter Name"
"FORM.FRMADDRESSDETAIL.PREFERRED_NAME","EN-US","en-US","Preferred name"
"FORM.FRMADDRESSDETAIL.SALUTATION","DE-CH","de-CH","Anrede"
"FORM.FRMADDRESSDETAIL.SALUTATION","EN-US","en-US","Salutation"
"FORM.FRMADDRESSDETAIL.STREET_NO","DE-CH","de-CH","Strasse | Nr"
"FORM.FRMADDRESSDETAIL.STREET_NO","EN-US","en-US","Street | No"
"FORM.FRMADDRESSLIST.ADDRESS_ID","DE-CH","de-CH","ID"
"FORM.FRMADDRESSLIST.ADDRESS_ID","EN-US","en-US","ID"
"FORM.FRMADDRESSLIST.CITY","DE-CH","de-CH","Ort"
"FORM.FRMADDRESSLIST.CITY","EN-US","en-US","City"
"FORM.FRMADDRESSLIST.DISPLAY_NAME","DE-CH","de-CH","Anzeigename"
"FORM.FRMADDRESSLIST.DISPLAY_NAME","EN-US","en-US","Display name"
"FORM.FRMADDRESSLIST.EMAIL","DE-CH","de-CH","E-Mail"
"FORM.FRMADDRESSLIST.EMAIL","EN-US","en-US","e-mail"
"FORM.FRMADDRESSLIST.LBLFORMTITLE","DE-CH","de-CH","Adressenliste"
"FORM.FRMADDRESSLIST.LBLFORMTITLE","EN-US","en-US","Address list"
"FORM.FRMADDRESSLIST.PHONE","DE-CH","de-CH","Telefon"
"FORM.FRMADDRESSLIST.PHONE","EN-US","en-US","Phone"
"FORM.FRMADDRESSLIST.ZIP_CODE","DE-CH","de-CH","Plz"
"FORM.FRMADDRESSLIST.ZIP_CODE","EN-US","en-US","Zip-code"
"FORM.FRMAPPDASHBOARD.BACKEND","DE-CH","de-CH","Backend"
"FORM.FRMAPPDASHBOARD.BACKEND","EN-US","en-US","Backend"
"FORM.FRMAPPDASHBOARD.FRAMEWORK","DE-CH","de-CH","Framework"
"FORM.FRMAPPDASHBOARD.FRAMEWORK","EN-US","en-US","Framework"
"FORM.FRMAPPDASHBOARD.STATUS","DE-CH","de-CH","Status"
"FORM.FRMAPPDASHBOARD.STATUS","EN-US","en-US","Status"
"FORM.FRMAPPDASHBOARD.TENANT","DE-CH","de-CH","Mandant"
"FORM.FRMAPPDASHBOARD.TENANT","EN-US","en-US","Tenant"
"FORM.FRMAPPDASHBOARD.USER","DE-CH","de-CH","Benutzer"
"FORM.FRMAPPDASHBOARD.USER","EN-US","en-US","User"
"FORM.FRMAPPSHELL.APP_SUBTITLE","DE-CH","de-CH","Die clevere Auftragsbearbeitung"
"FORM.FRMAPPSHELL.APP_SUBTITLE","EN-US","en-US","Clever order processing"
"FORM.FRMAPPSHELL.APP_TITLE","DE-CH","de-CH","EASIS v4"
"FORM.FRMAPPSHELL.APP_TITLE","EN-US","en-US","EASIS v4"
"FORM.FRMAPPSHELL.BACKEND","DE-CH","de-CH","Backend"
"FORM.FRMAPPSHELL.BACKEND","EN-US","en-US","Backend"
"FORM.FRMAPPSHELL.ENVIRONMENT","DE-CH","de-CH","Umgebung:"
"FORM.FRMAPPSHELL.ENVIRONMENT","EN-US","en-US","Environment"
"FORM.FRMAPPSHELL.ROLE","DE-CH","de-CH","Rolle"
"FORM.FRMAPPSHELL.ROLE","EN-US","en-US","Role"
"FORM.FRMAPPSHELL.STATUS_APP_VERSION","DE-CH","de-CH","Version:"
"FORM.FRMAPPSHELL.STATUS_APP_VERSION","EN-US","en-US","Version:"
"FORM.FRMAPPSHELL.STATUS_BACKEND","DE-CH","de-CH","Backend:"
"FORM.FRMAPPSHELL.STATUS_BACKEND","EN-US","en-US","backend:"
"FORM.FRMAPPSHELL.STATUS_CURRENT_ROLE","DE-CH","de-CH","Rolle"
"FORM.FRMAPPSHELL.STATUS_CURRENT_ROLE","EN-US","en-US","Role"
"FORM.FRMAPPSHELL.STATUS_CURRENT_TENANT","DE-CH","de-CH","Mandant"
"FORM.FRMAPPSHELL.STATUS_CURRENT_TENANT","EN-US","en-US","Tenant"
"FORM.FRMAPPSHELL.STATUS_CURRENT_USER","DE-CH","de-CH","Benutzer"
"FORM.FRMAPPSHELL.STATUS_CURRENT_USER","EN-US","en-US","user"
"FORM.FRMAPPSHELL.STATUS_ENVIRONMENT","DE-CH","de-CH","Umgebung:"
"FORM.FRMAPPSHELL.STATUS_ENVIRONMENT","EN-US","en-US","Environment:"
"FORM.FRMAPPSHELL.STATUS_ROLE","DE-CH","de-CH","Rolle"
"FORM.FRMAPPSHELL.STATUS_ROLE","EN-US","en-US","Role"
"FORM.FRMAPPSHELL.STATUS_TENANT","DE-CH","de-CH","Mandant"
"FORM.FRMAPPSHELL.STATUS_TENANT","EN-US","en-US","Tenant"
"FORM.FRMAPPSHELL.STATUS_USER","DE-CH","de-CH","Benutzer"
"FORM.FRMAPPSHELL.STATUS_USER","EN-US","en-US","user"
"FORM.FRMAPPSHELL.TENANT","DE-CH","de-CH","Mandant"
