form,module,event_type,event_name,line_start,line_end,reads,writes,calls,saves,requery_or_refresh,navigation,notes
frmOrderDetail,Form_frmOrderDetail,Public,DetailApply,487,489,None,None,ApplyCurrentRecord,Yes,Yes,No,In temp mode this is refresh not persist
frmOrderDetail,Form_frmOrderDetail,Public,RefreshCalculatedTotals,495,519,Current order ids,Current record position UI display,RestoreCurrentTemporaryOrderSelection RestoreCurrentOrderSelection RequeryOrderLinesSubform RefreshVatModeDisplay UpdateHeaderCaptionUi,No,Yes,No,Hard Me.Requery on header form
frmOrderDetail,Form_frmOrderDetail,Private,ConfigureOrderLinesSubform,566,594,m_isTemporaryOrder control existence,Subform source link fields,ConfigureOrderLinesSubformInstance UpdateOrderLinesAvailability,No,No,No,Switches child binding by mode
frmOrderDetail,Form_frmOrderDetail,Private,ApplyDeliveryAddressVatDefaults,750,783,customer_address_id delivery_address_id current order id,vat_mode vat_code vat_rate UI,GetDefaultVatContextForOrder RecalculateTemporaryOrder RecalculateOrder RefreshCalculatedTotals RequeryOrderLinesSubform,Indirect,Yes,No,Header change can fan out into full recalc
frmOrderDetail,Form_frmOrderDetail,Private,ApplyCurrentRecord,785,818,Me.Dirty order ids,multiple persisted totals via services,ApplyAuditFields RecalculateTemporaryOrder RecalculateOrder RefreshCalculatedTotals UpdateOrderLinesAvailability,Yes,Yes,No,Primary apply logic for both modes
frmOrderDetail,Form_frmOrderDetail,Private,CancelCurrentEdit,820,862,m_isTemporaryOrder tmp_order_id Me.Dirty,May delete tmp rows undo header changes state flags,DeleteTemporaryOrder ReturnToPreviousWorkspace,Maybe,No,Yes,Temp cancel deletes working data persisted cancel only Me.Undo
frmOrderDetail,Form_frmOrderDetail,Private,UpdateOrderLinesAvailability,896,913,GetCurrentOrderHeaderId,Subform enabled state hint visibility,SetOrderEntryEnabled,No,No,No,Uses tmp_order_id or order_id interchangeably as current header id
frmOrderDetail,Form_frmOrderDetail,Private,ActivateTemporaryOrderContext,1003,1036,tmp_order_id temp existence,Mode flags RecordSource UI selection,TemporaryOrderExists RestoreCurrentTemporaryOrderSelection ConfigureOrderLinesSubform ConfigureHeaderControls UpdateOrderLinesAvailability RequeryOrderLinesSubform UpdateHeaderCaptionUi,No,Yes,No,Core temp activation path
frmOrderDetail,Form_frmOrderDetail,Private,PersistTemporaryOrderAndReload,1079,1105,m_temporaryOrderId Me.Dirty,m_isTemporaryOrder m_temporaryOrderDisposed new navigation,PersistTemporaryOrder OpenWorkspaceForm,Yes,No,Yes,Temp to persisted transition
sfrmOrderLines,Form_sfrmOrderLines,Form,Form_Load,46,64,Parent context current recordsource,Combo config translation tags,InitializeRecordSource ConfigureEmptyLinesBehavior ConfigureAdjustmentCombo ConfigureVatCodeCombo ApplyTranslations,No,No,No,May load before final parent mode is stable
sfrmOrderLines,Form_sfrmOrderLines,Public,ConfigureForOrderContext,67,81,lineTableName parentKey lineKey,m_lineTableName m_parentKeyFieldName m_lineKeyFieldName,InitializeRecordSource,No,No,No,Dynamic switch between tmp and persisted line tables
sfrmOrderLines,Form_sfrmOrderLines,Form,Form_Current,83,92,Current line current parent,vat combo state,m_pendingDeleteOrderId ConfigureVatCodeCombo,No,No,No,Rebuilds VAT combo on each current-line change
sfrmOrderLines,Form_sfrmOrderLines,Control,cboVatCode_AfterUpdate,94,103,cboVatCode column(2),vat_rate line amount fields,UpdateVatRateFromVatCodeCombo CalcLineTotals,No,No,No,No header total recalc
sfrmOrderLines,Form_sfrmOrderLines,Control,txtQuantity_AfterUpdate,105,113,current line controls,current line amount fields,CalcLineTotals,No,No,No,Local line only
sfrmOrderLines,Form_sfrmOrderLines,Control,txtUnitPrice_AfterUpdate,115,123,current line controls,current line amount fields,CalcLineTotals,No,No,No,Local line only
sfrmOrderLines,Form_sfrmOrderLines,Control,txtDiscountValue_AfterUpdate,125,133,current line controls,current line amount fields,CalcLineTotals,No,No,No,Local line only
sfrmOrderLines,Form_sfrmOrderLines,Control,cboDiscountType_AfterUpdate,135,143,current line controls,current line amount fields,CalcLineTotals,No,No,No,Local line only
sfrmOrderLines,Form_sfrmOrderLines,Control,txtSurchargeValue_AfterUpdate,145,153,current line controls,current line amount fields,CalcLineTotals,No,No,No,Local line only
sfrmOrderLines,Form_sfrmOrderLines,Control,cboSurchargeType_AfterUpdate,155,163,current line controls,current line amount fields,CalcLineTotals,No,No,No,Local line only
sfrmOrderLines,Form_sfrmOrderLines,Form,Form_BeforeInsert,165,173,parent order header id line defaults,parent key line_no vat defaults,EnsureNewLineDefaults,No,No,No,Insert blocked while parent header id is not available
sfrmOrderLines,Form_sfrmOrderLines,Form,Form_AfterInsert,175,183,None,Focus,FocusDescriptionControl,No,No,No,UI only
sfrmOrderLines,Form_sfrmOrderLines,Form,Form_BeforeUpdate,185,187,None,None,None,No,No,No,Intentionally empty
sfrmOrderLines,Form_sfrmOrderLines,Form,Form_AfterUpdate,189,191,None,None,None,No,No,No,Intentionally no totals recalc
sfrmOrderLines,Form_sfrmOrderLines,Form,Form_Delete,193,201,current header id,m_pendingDeleteOrderId,None,No,No,No,Tracks delete context only
sfrmOrderLines,Form_sfrmOrderLines,Form,Form_AfterDelConfirm,203,205,None,None,None,No,No,No,Intentionally no totals recalc
sfrmOrderLines,Form_sfrmOrderLines,Private,EnsureNewLineDefaults,261,287,parent current line fields,parent key line_no vat defaults,GetParentOrderId GetNextLineNo ApplyOrderVatDefaultsToCurrentLine,No,No,No,First line cannot exist until parent header row exists
sfrmOrderLines,Form_sfrmOrderLines,Private,CalcLineTotals,308,396,current controls parent vat_mode,current line amount fields,ResolveCurrentVatMode SetControlValue,No,No,No,Duplicates service calculation logic locally
modAppWorkspaceService,modAppWorkspaceService,Workspace,OpenWorkspaceForm,31,176,host current history openArgs,pending args sourceobject history,ApplyWorkspaceFormState ApplyWorkspaceOpenArgs RefreshShellStatus,No,No,Yes,Main shell transition path
modAppWorkspaceService,modAppWorkspaceService,Workspace,GoBack,222,281,History stack,current host restored state,OpenWorkspaceForm RestoreWorkspaceHistoryState,No,No,Yes,Restores custom state after opening previous form
